name,company,year,Price,kms_driven,fuel_type
Mazda 2 R,Mazda,2012,110000000,55000,Bensin
Mazda 2 GT,Mazda,2014,168000000,60000,Bensin
Toyota Starlet ,Toyota,1990,27000000,150000,Bensin
Isuzu New Panther ,Isuzu,2014,147000000,95000,Diesel
Chevrolet Optra ,Chevrolet,2010,57500000,100000,Bensin
Hyundai Excel ,Hyundai,2013,89500000,95000,Bensin
Mitsubishi Pajero Sport Exceed,Mitsubishi,2010,110000000,130000,Diesel
BMW M Series M3,BMW,1990,888000000,75000,Bensin
Nissan X-Trail ,Nissan,2011,139000000,105000,Bensin
Isuzu ,Isuzu,2018,235000000,35000,Diesel
Mitsubishi Pajero Sport Dakar,Mitsubishi,2016,525000000,35000,Diesel
Daihatsu Ayla X,Daihatsu,2017,98000000,25000,Bensin
Isuzu Elf Minibus ,Isuzu,2015,210000000,130000,Diesel
Mitsubishi Pajero ,Mitsubishi,2014,276000000,65000,Diesel
Daihatsu Gran max Pick-up ,Daihatsu,2018,108000000,45000,Bensin
Mini Cooper Mini Cooper ,Mini Cooper,2015,545000000,35000,Bensin
Daihatsu Ayla X,Daihatsu,2017,90000000,25000,Bensin
Isuzu Elf Minibus 2.8 Minibus Diesel,Isuzu,2013,135000000,12500,Diesel
Daihatsu Terios ,Daihatsu,2019,190000000,5000,Bensin
KIA Picanto M/T,KIA,2009,40000000,40000,Bensin
Mercedes-Benz A-Class A140,Mercedes-Benz,2001,39000000,35000,Bensin
Chevrolet Spin ,Chevrolet,2015,119000000,50000,Bensin
Hyundai Trajet GL8,Hyundai,2003,53000000,155000,Bensin
Toyota Avanza G,Toyota,2008,99500000,105000,Bensin
Daihatsu Zebra ,Daihatsu,1998,40000000,30000,Bensin
Suzuki Ertiga GX,Suzuki,2013,137000000,80000,Bensin
Nissan Grand livina ,Nissan,2013,117000000,70000,Bensin
Mazda 2 S,Mazda,2010,84000000,105000,Bensin
BMW Serie 5 520i,BMW,2013,365000000,20000,Bensin
Chevrolet Aveo LT,Chevrolet,2012,85000000,40000,Bensin
KIA Sportage EX,KIA,2012,131000000,75000,Bensin
Toyota Avanza G,Toyota,2014,126000000,290000,Bensin
Honda Mobilio E,Honda,2014,130000000,85000,Bensin
Honda Brio E,Honda,2013,99000000,35000,Bensin
Hyundai H-1 X,Hyundai,2012,160000000,60000,Diesel
Daihatsu Xenia X Deluxe,Daihatsu,2013,116000000,80000,Bensin
Isuzu Grand touring ,Isuzu,2011,180000000,100000,Diesel
Ford Everest ,Ford,2003,88000000,15000,Diesel
Daihatsu Taruna CSX,Daihatsu,2000,61000000,5000,Bensin
Mini Cooper Mini Cooper ,Mini Cooper,2014,605000000,10000,Bensin
Toyota Rush TRD Sportivo Ultimo,Toyota,2018,205000000,10000,Bensin
Mitsubishi Pajero Sport 2.5L Dakar,Mitsubishi,2011,270000000,80000,Diesel
